"","day","wday","hour","count"
"400",16972,2,15,4
"401",16972,2,16,3
"402",16972,2,17,11
"403",16972,2,18,6
"404",16972,2,19,7
"405",16972,2,20,4
"406",16972,2,21,3
"407",16972,2,22,3
"408",16972,2,23,9
"409",16973,3,0,4
"410",16973,3,1,3
"411",16973,3,2,5
"412",16973,3,3,1
"413",16973,3,4,4
"414",16973,3,5,1
"415",16973,3,6,0
"416",16973,3,7,0
"417",16973,3,8,0
"418",16973,3,9,0
"419",16973,3,10,3
"420",16973,3,11,0
"421",16973,3,12,2
"422",16973,3,13,4
"423",16973,3,14,2
"424",16973,3,15,5
"425",16973,3,16,8
"426",16973,3,17,2
"427",16973,3,18,8
"428",16973,3,19,7
"429",16973,3,20,7
"430",16973,3,21,3
"431",16973,3,22,7
"432",16973,3,23,16
"433",16974,4,0,7
"434",16974,4,1,11
"435",16974,4,2,12
"436",16974,4,3,13
"437",16974,4,4,5
"438",16974,4,5,4
"439",16974,4,6,0
"440",16974,4,7,0
"441",16974,4,8,0
"442",16974,4,9,1
"443",16974,4,10,3
"444",16974,4,11,1
"445",16974,4,12,3
"446",16974,4,13,4
"447",16974,4,14,5
"448",16974,4,15,8
"449",16974,4,16,4
"450",16974,4,17,10
"451",16974,4,18,9
"452",16974,4,19,8
"453",16974,4,20,10
"454",16974,4,21,12
"455",16974,4,22,16
"456",16974,4,23,29
"457",16975,5,0,24
"458",16975,5,1,25
"459",16975,5,2,12
"460",16975,5,3,15
"461",16975,5,4,21
"462",16975,5,5,4
"463",16975,5,6,1
"464",16975,5,7,0
"465",16975,5,8,0
"466",16975,5,9,0
"467",16975,5,10,0
"468",16975,5,11,0
"469",16975,5,12,0
"470",16975,5,13,0
"471",16975,5,14,0
"472",16975,5,15,0
"473",16975,5,16,0
"474",16975,5,17,0
"475",16975,5,18,0
"476",16975,5,19,3
"477",16975,5,20,5
"478",16975,5,21,6
"479",16975,5,22,14
"480",16975,5,23,20
"481",16976,6,0,18
"482",16976,6,1,20
"483",16976,6,2,13
"484",16976,6,3,16
"485",16976,6,4,16
"486",16976,6,5,8
"487",16976,6,6,6
"488",16976,6,7,6
"489",16976,6,8,0
"490",16976,6,9,0
"491",16976,6,10,0
"492",16976,6,11,0
"493",16976,6,12,7
